TEXT;LANGUAGE;DOMAIN;CLASS;SYSTEM;;
La beril·liosi és una intoxicació crònica causada per la inhalació de la pols de beril·li. ;CA;CLINICAL;HUMAN;NONE;;
"""El nom """"Huoshen"""" (火神 ) prové de Zhurong un personatge important de la mitologia xinesa i la religió popular xinesa que era conegut com els avantpassats del poble Chu, i l'emperador Yan, un llegendari antic governant xinès en la pre- temps dinàstics que eren coneguts com a avantpassats del poble xinès."" ";CA;CLINICAL;HUMAN;NONE;;
Com en anteriors lliuraments de la sèrie Animal Crossing, Animal Crossing: New Horizons és un joc de simulació de vida no lineal que es juga a temps real. ;CA;CLINICAL;HUMAN;NONE;;
No obstant això, al món hi ha més de 19 milions de nens, no vacunats o vacunats parcialment, en perill de contreure malalties potencialment mortals.;CA;CLINICAL;HUMAN;NONE;;
2007: Intoxicació per pintura de plom sobre joguines de la Xina;CA;CLINICAL;HUMAN;NONE;;
Els partits polítics presenten un nombre de candidats que s'ajusten a les expectatives que tenen. ;CA;CLINICAL;HUMAN;NONE;;
Per exemple, en una esteatohepatitis alcohòlica el ratio AST:ALT és >2:1 (AST>ALT), mentre que en una esteatohepatitis no alcohòlica el ratio ALT:AST és >1.5:1 (ALT>AST).;CA;CLINICAL;HUMAN;NONE;;
La majoria dels infectats viuen a l'Àfrica subsahariana. ;CA;CLINICAL;HUMAN;NONE;;
Aproximadament el 90% de les persones infectades amb Mycobacterium tuberculosis tenen una infecció latent asimptomàtica (a vegades denominada LTBI), amb només una possibilitat del 10% que en algun moment de la vida la infecció latent progressi a TB activa.;CA;CLINICAL;HUMAN;NONE;;
Tos, sovint persistent i a vegades severa. ;CA;CLINICAL;HUMAN;NONE;;
La pneumoconiosi és una malaltia broncopulmonar produïda per la inhalació i la fixació de pols orgàniques o inorgàniques. ;CA;CLINICAL;HUMAN;NONE;;
Entre 1911 i 1938, hi va haver 500 morts entre els filadors de cotó per càncer de l'escrot, però només tres entre els filadors de llana.;CA;CLINICAL;HUMAN;NONE;;
Com que la immunització és una potent estratègia de salut pública per millorar la supervivència infantil, és important determinar quines estratègies funcionen millor per augmentar la cobertura. ;CA;CLINICAL;HUMAN;NONE;;
La història del virus H1N1 S-OIV pandèmic;CA;CLINICAL;HUMAN;NONE;;
New Horizons va vendre 1,88 milions de còpies físiques el dia del llançament al Japó, batent el rècord de Pokémon Sword i Pokémon Shield.;CA;CLINICAL;HUMAN;NONE;;
L'expansió de la pandèmia per coronavirus de 2019-2020 es confirmà a Albània a partir del 8 de març del 2020 quan es van detectar dos cas simultanis de persones contaminades per Covid-19, un pare i el seu fill que havia tornat recentment de Florència.;CA;CLINICAL;HUMAN;NONE;;
"""TouchArcade va dir que """"Plague Inc. et farà captar la teva atenció de totes les maneres correctes i mantenir-la allà""""."" ";CA;CLINICAL;HUMAN;NONE;;
La soca, una variant de la H1N1, és coneguda com a A/New Jersey/1976 (H1N1).;CA;CLINICAL;HUMAN;NONE;;
En ell hi ha 650 motius de consulta distribuïts en 32 categories simptomàtiques, que amb dades de l'interrogatori i unes dades exploratòries bàsiques, classifiquen amb 5 nivells d'urgència.;CA;CLINICAL;HUMAN;NONE;;
Amnistia Internacional ha criticat el fet que diversos periodistes havien estat detinguts arran de la difusió d'informacions sobre la pandèmia. ;CA;CLINICAL;HUMAN;NONE;;
Sudan aturà l'emissió de visas, i alhora va anul·lar els vols, per a vuit països, entre els quals Itàlia i Egipte neighbouring, over fears of la pandèmia de coronavirus. ;CA;CLINICAL;HUMAN;NONE;;
El tipus i nombre d'antibiòtics que s'utilitzen depèn del tipus d'infecció. ;CA;CLINICAL;HUMAN;NONE;;
El dia 11 d'abril una pacient de 79 anys de La Seu d'Urgell (Catalunya, Espanya) va ser traslladada a l’UCI de l’hospital Nostra Senyora de Meritxell.;CA;CLINICAL;HUMAN;NONE;;
"El Dr. Robertson va afirmar que el càncer va ser causat per l'estirament mentre es retallava; en els estiraments, l'abrasió es produïa per l'arrossegament ascendent i el consegüent enduriment de la peça que es s'arrossegava sobre l'escrot. ";CA;CLINICAL;HUMAN;NONE;;
L'arribada de la pandèmia per coronavirus de 2019-2020 a Armènia es va confirmar l'1 de març de 2020.;CA;CLINICAL;HUMAN;NONE;;
