paper_id,category,title,abstract,type,year,venue,doi,url
776caf29b3ceae92c80c3c11a57da5c475924d9e,biology,Microscale technologies for tissue engineering and biology.,"Microscale technologies have emerged as transformative tools in tissue engineering and biological research by enabling precise control over the cellular microenvironment and the fabrication of complex tissue structures. This review highlights recent advances in microfabrication techniques, such as soft lithography, microfluidics, and 3D printing, which facilitate the creation of engineered scaffolds with controlled architecture, vascularization, and spatially regulated biochemical cues. These approaches address key challenges in tissue engineering, including the development of functional vasculature, the design of biomaterials with tailored properties, and the ability to direct stem cell fate and tissue organization. Additionally, microscale technologies support high-throughput assays and the study of cellular behavior under physiologically relevant conditions. The integration of these methods is advancing the field toward more effective tissue regeneration strategies and providing new insights into fundamental biological processes. Future directions include further refinement of scaffold fabrication, improved control over cell–material interactions, and expanded applications in regenerative medicine and disease modeling.",machine,2006,Proceedings of the National Academy of Sciences of the United States of America,10.1073/PNAS.0507681102,https://www.semanticscholar.org/paper/776caf29b3ceae92c80c3c11a57da5c475924d9e
8365ab4698d57d57ce91f32f964c0eedb803ed4d,physics,Electroweak Baryogenesis,"Contrary to naive cosmological expectations, all evidence suggests that the universe contains an abundance of matter over antimatter. This article reviews the currently popular scenario in which testable physics, present in the standard model of electroweak interactions and its modest extensions, is responsible for this fundamental cosmological datum. A pedagogical explanation of the motivations and physics behind electroweak baryogenesis is provided, and analytical approaches, numerical studies, up to date developments and open questions in the field are also discussed.",human,1998,,10.1103/RevModPhys.71.1463,https://www.semanticscholar.org/paper/8365ab4698d57d57ce91f32f964c0eedb803ed4d
9b50294fd753918a9f97f33192588f32f4ec041e,chemistry,Click chemistry with DNA.,"The advent of click chemistry has led to an influx of new ideas in the nucleic acids field. The copper catalysed alkyne-azide cycloaddition (CuAAC) reaction is the method of choice for DNA click chemistry due to its remarkable efficiency. It has been used to label oligonucleotides with fluorescent dyes, sugars, peptides and other reporter groups, to cyclise DNA, to synthesise DNA catenanes, to join oligonucleotides to PNA, and to produce analogues of DNA with modified nucleobases and backbones. In this critical review we describe some of the pioneering work that has been carried out in this area (78 references).",human,2010,Chemical Society Reviews,10.1039/b901971p,https://www.semanticscholar.org/paper/9b50294fd753918a9f97f33192588f32f4ec041e
dfe04ae734bf18378f973014d81f4afcc4154ac2,environmental science,The diversity and evolution of ecological and environmental citizen science,"Citizen science in ecology and the environment encompasses a wide array of approaches, yet its diversity has not previously been systematically quantified. We conducted a comprehensive internet-based survey, identifying 509 ecological and environmental citizen science projects, each evaluated for 32 attributes describing their methodologies and structures. Using multiple factor analysis, we found that projects varied along gradients from mass participation to systematic monitoring and from simple to elaborate designs, with a distinct subset of computer-based projects. Rather than forming discrete categories, projects exhibited continuous variation in approach. While the number of new project types initiated in each time period remained stable, the diversity among active projects increased over time, reflecting growing differentiation likely driven by technological advances and changing opportunities. Our findings provide a quantitative framework for understanding the evolving landscape of citizen science in ecology and the environment, offering an evidence base for comparative evaluation and future development of citizen science initiatives.",machine,2017,PLoS ONE,10.1371/journal.pone.0172579,https://www.semanticscholar.org/paper/dfe04ae734bf18378f973014d81f4afcc4154ac2
644c49ce1c8179e30d9128f4910236a6652f3356,materials science,Ultrafast laser processing of materials: from science to industry,"Processing of materials by ultrashort laser pulses has evolved significantly over the last decade and is starting to reveal its scientific, technological and industrial potential. In ultrafast laser manufacturing, optical energy of tightly focused femtosecond or picosecond laser pulses can be delivered to precisely defined positions in the bulk of materials via two-/multi-photon excitation on a timescale much faster than thermal energy exchange between photoexcited electrons and lattice ions. Control of photo-ionization and thermal processes with the highest precision, inducing local photomodification in sub-100-nm-sized regions has been achieved. State-of-the-art ultrashort laser processing techniques exploit high 0.1–1 μm spatial resolution and almost unrestricted three-dimensional structuring capability. Adjustable pulse duration, spatiotemporal chirp, phase front tilt and polarization allow control of photomodification via uniquely wide parameter space. Mature opto-electrical/mechanical technologies have enabled laser processing speeds approaching meters-per-second, leading to a fast lab-to-fab transfer. The key aspects and latest achievements are reviewed with an emphasis on the fundamental relation between spatial resolution and total fabrication throughput. Emerging biomedical applications implementing micrometer feature precision over centimeter-scale scaffolds and photonic wire bonding in telecommunications are highlighted. The ability of femtosecond lasers to efficiently fabricate complex structures and devices for a wide variety of applications is reviewed. Mangirdas Malinauskas at Vilnius University in Lithuania and co-workers in Japan, Australia and Saudi Arabia describe how state-of-the-art laser processing techniques with ultrashort light pulses can be used to structure materials with a sub-micrometre resolution. Direct laser writing of suitable photoresists and other transparent media can create intricate three-dimensional photonic crystals, micro-optical components, gratings, tissue scaffolds and optical waveguides. Such structures are potentially useful for empowering next-generation applications in telecommunications and bioengineering that rely on the creation of increasingly sophisticated miniature parts. The precision, fabrication speed and versatility of ultrafast laser processing make it well placed to become a vital industrial tool for manufacturing.",human,2016,Light: Science & Applications,10.1038/lsa.2016.133,https://www.semanticscholar.org/paper/644c49ce1c8179e30d9128f4910236a6652f3356
87cc199256b287800f74d1a69b4cc9ec8e8eb74e,education,Understanding the signature pedagogy of the design studio and the opportunities for its technological enhancement,"This paper presents an analysis of the studio as the signature pedagogy of design education. A number of theoretical models of learning, pedagogy, and education are used to interrogate the studio for its advantages and shortcomings, and to identify opportunities for the integration of new technologies and to explore the affordances that they might offer. In particular the theoretical ideas of signature pedagogies, conversational frameworks, and pedagogical patterns are used to justify the ‘unique’ status of the studio as a dominant learning environment and mode of delivery within design education. Such analysis identifies the opportunities for technological intervention and enhancement of the design studio through a re-examining of its fundamental pedagogical signature. This paper maps the dimensions and qualities that define the signature pedagogy against a range of delivery modes and technological media forms. Through such investigation it seeks to identify appropriate opportunities for technology; in essence offering a structure or framework for the analysis of future enquiry and experimentation.",human,2013,,10.5204/JLD.V6I3.155,https://www.semanticscholar.org/paper/87cc199256b287800f74d1a69b4cc9ec8e8eb74e
dae11057cc9003c8fb4f2ff172d3593d692e7ac1,medicine,"Evaluating Drug Prices, Availability, Affordability, and Price Components: Implications for Access to Drugs in Malaysia","Malaysia's stable health care system is facing challenges with increasing medicine costs. To investigate these issues a survey was carried out to evaluate medicine prices, availability, affordability, and the structure of price components. Methods and Findings The methodology developed by the World Health Organization (WHO) and Health Action International (HAI) was used. Price and availability data for 48 medicines was collected from 20 public sector facilities, 32 private sector retail pharmacies and 20 dispensing doctors in four geographical regions of West Malaysia. Medicine prices were compared with international reference prices (IRPs) to obtain a median price ratio. The daily wage of the lowest paid unskilled government worker was used to gauge the affordability of medicines. Price component data were collected throughout the supply chain, and markups, taxes, and other distribution costs were identified. In private pharmacies, innovator brand (IB) prices were 16 times higher than the IRPs, while generics were 6.6 times higher. In dispensing doctor clinics, the figures were 15 times higher for innovator brands and 7.5 for generics. Dispensing doctors applied high markups of 50%–76% for IBs, and up to 316% for generics. Retail pharmacy markups were also high—25%–38% and 100%–140% for IBs and generics, respectively. In the public sector, where medicines are free, availability was low even for medicines on the National Essential Drugs List. For a month's treatment for peptic ulcer disease and hypertension people have to pay about a week's wages in the private sector. Conclusions The free market by definition does not control medicine prices, necessitating price monitoring and control mechanisms. Markups for generic products are greater than for IBs. Reducing the base price without controlling markups may increase profits for retailers and dispensing doctors without reducing the price paid by end users. To increase access and affordability, promotion of generic medicines and improved availability of medicines in the public sector are required.",human,2007,PLoS Medicine,10.1371/journal.pmed.0040082,https://www.semanticscholar.org/paper/dae11057cc9003c8fb4f2ff172d3593d692e7ac1
57d84022cac794eeb753f7812df416343e829848,engineering,Bat algorithm: a novel approach for global engineering optimization,"This paper introduces the Bat Algorithm (BA), a novel nature-inspired metaheuristic optimization method based on the echolocation behavior of microbats, for solving complex global engineering optimization problems. The algorithm models key echolocation characteristics, such as frequency tuning, loudness modulation, and pulse emission rate, to guide the search process in multimodal and nonlinear design spaces. BA is systematically formulated and implemented, then validated on eight established nonlinear engineering optimization benchmarks from the literature. Comparative analysis demonstrates that BA consistently outperforms several existing optimization algorithms by achieving superior optimal solutions. The study highlights the unique search mechanisms of BA and discusses their implications for future research in engineering design optimization, establishing BA as a promising tool for tackling challenging real-world optimization tasks.",machine,2012,,10.1108/02644401211235834,https://www.semanticscholar.org/paper/57d84022cac794eeb753f7812df416343e829848
af54e17341b51e71b7675e863d36d5903fd0ca0e,physics,QCD and strongly coupled gauge theories: challenges and perspectives,"We highlight the progress, current status, and open challenges of QCD-driven physics, in theory and in experiment. We discuss how the strong interaction is intimately connected to a broad sweep of physical problems, in settings ranging from astrophysics and cosmology to strongly coupled, complex systems in particle and condensed-matter physics, as well as to searches for physics beyond the Standard Model. We also discuss how success in describing the strong interaction impacts other fields, and, in turn, how such subjects can impact studies of the strong interaction. In the course of the work we offer a perspective on the many research streams which flow into and out of QCD, as well as a vision for future developments.",human,2014,European Physical Journal C: Particles and Fields,10.1140/epjc/s10052-014-2981-5,https://www.semanticscholar.org/paper/af54e17341b51e71b7675e863d36d5903fd0ca0e
4f2b4d44bebf114a1d489c04021467684f8cd909,physics,Polymers: Chemistry and Physics of Modern Materials,"This comprehensive work presents an in-depth exploration of the chemistry and physics underlying modern polymeric materials, integrating foundational concepts with advanced developments in synthesis, characterization, and structure-property relationships. Beginning with the historical emergence and basic definitions of polymers, the text systematically examines key polymerization mechanisms—including step-growth, free-radical, ionic, and metal-catalyzed processes—alongside the formation of copolymers and complex architectures such as dendrimers. Detailed attention is given to stereochemistry, solution behavior, and state transitions, encompassing both crystalline and amorphous phases as well as the glassy and elastomeric states. The authors provide thorough coverage of analytical techniques for determining molar mass, chain dimensions, morphology, and molecular structure using methods such as light scattering, spectroscopy, chromatography, and microscopy. The interplay between molecular structure and macroscopic properties is elucidated through discussions on rheology, viscoelasticity, mechanical performance, crystallinity, and thermal behavior. By bridging chemical synthesis with physical characterization and practical applications in fibers, elastomers, and plastics, this volume serves as a critical resource for understanding the multifaceted nature of polymers in contemporary materials science.",machine,1973,,10.5860/choice.45-3794,https://www.semanticscholar.org/paper/4f2b4d44bebf114a1d489c04021467684f8cd909
