task,configuration,win_ratio
SST2,Low (Liar),0.0
SST2,Low (Median),0.023255813953488372
SST2,Low (Max),0.05172413793103448
SST2,Mod (Liar),0.05
SST2,Mod (Median),0.045454545454545456
SST2,Mod (Max),0.046511627906976744
SST2,High (Liar),0.034482758620689655
SST2,High (Median),0.02
SST2,High (Max),0.09375
AG_NEWS,Low (Liar),0.0784313725490196
AG_NEWS,Low (Median),0.10869565217391304
AG_NEWS,Low (Max),0.023809523809523808
AG_NEWS,Mod (Liar),0.13333333333333333
AG_NEWS,Mod (Median),0.10344827586206896
AG_NEWS,Mod (Max),0.16666666666666666
AG_NEWS,High (Liar),0.13793103448275862
AG_NEWS,High (Median),0.15151515151515152
AG_NEWS,High (Max),0.13793103448275862
LIAR,Low (Liar),0.0546875
LIAR,Low (Median),0.05555555555555555
LIAR,Low (Max),0.03937007874015748
LIAR,Mod (Liar),0.07216494845360824
LIAR,Mod (Median),0.09900990099009901
LIAR,Mod (Max),0.05154639175257732
LIAR,High (Liar),0.3797909407665505
LIAR,High (Median),0.2236024844720497
LIAR,High (Max),0.1978021978021978
MELD,Low (Liar),0.10784313725490197
MELD,Low (Median),0.08387096774193549
MELD,Low (Max),0.032
MELD,Mod (Liar),0.09411764705882353
MELD,Mod (Median),0.0625
MELD,Mod (Max),0.07407407407407407
MELD,High (Liar),0.491869918699187
MELD,High (Median),0.13541666666666666
MELD,High (Max),0.1791907514450867
